Ref,Val,Package,PosX,PosY,Rot,Side
"U1","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",104.000000,-79.000000,90.000000,bottom
"U5","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",104.000000,-95.000000,90.000000,bottom
"U6","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",104.000000,-111.000000,90.000000,bottom
"U7","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",104.000000,-127.000000,90.000000,bottom
"U8","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",152.000000,-127.000000,-90.000000,bottom
"U9","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",152.000000,-111.000000,-90.000000,bottom
"U10","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",152.000000,-95.000000,-90.000000,bottom
"U11","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",152.000000,-79.000000,-90.000000,bottom
"U12","ABPDLNN100MG2A3","XDCR_ABPDLNN100MG2A3",139.446000,-92.318000,180.000000,bottom
"A1","LTC2498IUHF_TRPBF","QFN-38_UHF",122.936000,-78.128400,0.000000,top
"Bus_D1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",118.012000,-69.818000,90.000000,top
"C1","20pf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",124.460000,-88.861500,-90.000000,top
"C2","0.1uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",131.826000,-74.549000,-90.000000,top
"C3","4.7uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",120.904000,-116.840000,180.000000,top
"C4","4.7uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",129.286000,-103.124000,0.000000,top
"C5","4.7uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",129.286000,-108.204000,0.000000,top
"C6","4.7uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.762000,-128.524000,-90.000000,top
"C7","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",129.032000,-74.549000,-90.000000,top
"FREQ1","LTC6906IS6_TRPBF","SOT95P280X100-6N",129.413000,-90.500200,0.000000,top
"J1","Barrel_Jack_MountingPin","BarrelJack_Horizontal",117.855000,-123.365000,90.000000,top
"J2","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",140.000000,-135.880000,0.000000,top
"J3","Conn_01x03_Pin","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",155.194000,-104.600000,90.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",150.495000,-104.267000,-90.000000,top
"J9","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",146.000000,-70.380000,-90.000000,top
"J11","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",136.000000,-135.880000,0.000000,top
"Q1","AO3400A","SOT-23",151.208500,-86.995000,0.000000,top
"R1","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.413000,-93.345000,0.000000,top
"R3","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.236000,-71.628000,180.000000,top
"R4","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.443000,-76.327000,0.000000,top
"R5","70","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.447000,-119.253000,180.000000,top
"R6","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.051000,-119.253000,180.000000,top
"R57","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.874000,-73.914000,90.000000,top
"R60","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.827000,-74.803000,180.000000,top
"U2","INA332AIDGKR","SOP65P490X110-8N",137.042000,-77.683000,0.000000,top
"U3","R-78C3.3-1.0","Converter_DCDC_RECOM_R-78E-0.5_THT",122.555000,-108.204000,90.000000,top
"U4","R-78C12-1.0","Converter_DCDC_RECOM_R-78E-0.5_THT",127.713500,-116.806000,-90.000000,top
