Designator,Val,Package,PosX,PosY,Rot,Side
"Bus_D1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",118.012000,-67.024000,-90.000000,bottom
"C4","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.317000,-120.269000,180.000000,bottom
"J9","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",146.000000,-67.500000,90.000000,bottom
"J10","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",140.000000,-133.000000,180.000000,bottom
"J11","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",136.000000,-133.000000,180.000000,bottom
"A2","LTC2498IUHF_TRPBF","QFN-38_UHF",123.825000,-95.123000,-90.000000,top
"A3","LTC2498IUHF_TRPBF","QFN-38_UHF",130.833400,-86.717000,90.000000,top
"Bus_D2","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",124.166000,-133.014000,90.000000,top
"C1","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.381000,-100.457000,180.000000,top
"C2","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",126.619000,-79.121000,0.000000,top
"C3","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",120.904000,-112.776000,-90.000000,top
"C5","0.1uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.381000,-103.124000,180.000000,top
"C6","0.1uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",126.619000,-81.661000,0.000000,top
"J1","Conn_01x12_Pin","JST_ZH_B12B-ZR_1x12_P1.50mm_Vertical",155.829000,-131.967000,90.000000,top
"J3","Conn_02x16_Top_Bottom","PinHeader_2x16_P2.54mm_Vertical",107.696000,-73.533000,0.000000,top
"J4","Conn_02x16_Top_Bottom","PinHeader_2x16_P2.54mm_Vertical",147.955000,-111.506000,180.000000,top
"J5","Conn_01x12_Pin","JST_ZH_B12B-ZR_1x12_P1.50mm_Vertical",100.203000,-115.491000,-90.000000,top
